"","x"
"1",8.35e-06
"2",1.034e-05
"3",1.285e-05
"4",1.634e-05
"5",2.084e-05
"6",2.634e-05
"7",3.335e-05
"8",4.234e-05
"9",5.021e-05
"10",5.384e-05
"11",5.571e-05
"12",6.272e-05
"13",6.834e-05
"14",7.171e-05
"15",8.321e-05
"16",8.634e-05
"17",9.771e-05
"18",0.00010883
"19",0.00011571
"20",0.0001382
"21",0.00014283
"22",0.0001722
"23",0.00018583
"24",0.0002152
"25",0.00022883
"26",0.0002582
"27",0.00027183
"28",0.0003012
"29",0.00033633
"30",0.0003657
"31",0.00042233
"32",0.0004517
"33",0.00052983
"34",0.0005592
"35",0.0007092
"36",0.0009017
"37",0.0011375
"38",0.0014365
"39",0.0018215
"40",0.0022925
"41",0.0028485
"42",0.0035335
